UF;município;código IBGE do município;nome do fundo;CNPJ;nome do estabelecimento;código CNES;CNPJ do estabelecimento;código da emenda parlamentar;valor por emenda;valor por parlamentar;valor;funcional programático;numero da proposta;numero da portaria;data
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
MG;;;;;;;;;;;;;;3728.;07/05/2024
